elig,lwage,vet,yob
0,4.3428001,0,50
1,4.9415998,0,52
0,4.5405998,0,51
0,5.0359998,0,53
0,5.2641001,0,53
0,5.9521999,0,52
0,5.901,0,50
0,5.2591,0,53
0,4.6852002,0,53
0,4.8674998,0,51
0,5.901,1,51
1,5.1648002,0,50
1,5.2982998,0,50
0,5.4313998,0,53
1,5.6711998,1,53
0,5.0233998,1,50
0,5.6908998,0,51
1,5.8903999,0,53
0,5.0966001,0,53
0,5.5956001,1,52
1,5.0106001,0,50
0,5.3375001,1,53
0,5.743,1,50
0,4.2985001,0,53
0,5.0359998,1,52
1,5.8469,1,50
1,4.8400002,0,53
1,4.9899001,1,52
0,4.2093,0,52
0,5.8435001,1,51
1,6.0292001,0,52
0,5.2982998,0,53
0,5.4369998,0,52
1,4.1410999,0,50
0,5.0359998,0,52
1,6.0605001,1,53
0,5.1947999,0,53
1,5.6128001,0,53
0,5.8133998,0,53
0,5.5556002,0,52
1,3.9273,1,51
1,4.3709998,0,51
0,5.4949999,0,52
0,5.9025002,0,51
0,5.8133998,0,51
0,5.5074,0,51
0,4.5141001,0,51
0,5.5496998,1,51
0,5.5469999,1,53
0,5.2073002,1,52
0,5.5293999,0,51
0,5.8541999,0,53
0,5.9805002,0,52
1,5.6615,0,52
0,5.2873001,0,53
0,5.3250999,0,52
1,5.6928,0,53
0,5.1044002,1,50
0,5.8920999,0,51
1,5.4734001,0,53
1,4.8878999,1,52
0,5.3808999,0,53
0,5.2073002,0,50
0,5.1202998,0,53
1,5.8579001,0,53
1,4.9196,0,52
0,5.8403001,0,53
1,6.6423998,1,52
0,5.7181001,0,51
1,5.6402001,0,51
1,6.1236,0,53
0,5.4891,0,50
1,4.4510999,1,50
1,5.4696999,1,52
0,5.5556002,0,51
1,5.6992998,1,53
0,5.7181001,0,52
0,5.3298998,0,51
1,5.8920999,0,52
0,5.4070001,0,51
1,4.5141001,0,52
0,5.9693999,0,51
1,5.3095002,0,50
0,5.6668,0,51
0,5.0139999,1,53
0,5.3614001,0,51
0,5.4629998,0,53
1,5.7181001,0,51
0,6.2776999,0,50
0,5.3316998,0,51
0,5.2073002,0,52
0,5.2400999,0,50
0,5.7181001,0,50
0,5.7181001,0,50
0,6.4812999,0,52
1,5.6402001,0,52
0,6.0181999,1,50
0,5.2073002,0,52
0,5.4949999,0,52
0,5.4632001,0,52
0,5.4303999,0,53
1,5.6128001,0,51
0,5.6603999,0,51
0,3.8601999,0,50
0,5.8113999,0,53
0,5.5998998,0,51
1,6.0181999,0,51
0,4.8063998,0,51
0,5.7863002,0,53
0,5.8133998,0,52
1,2.4992001,1,51
0,5.2873001,0,51
